model,split,directional_accuracy,balanced_accuracy,macro_f1,up_precision,up_recall,down_precision,down_recall,support_up,support_down,direction_confusion_matrix
Logistic Regression baseline,validation,0.48881789137380194,0.4904945826645265,0.46577914319849806,0.27672955974842767,0.4943820224719101,0.7077922077922078,0.48660714285714285,89,224,"{'tn': 109, 'fp': 115, 'fn': 45, 'tp': 44}"
Logistic Regression baseline,test,0.6449044585987261,0.5824870272106453,0.5835779044492615,0.43617021276595747,0.4120603015075377,0.7340909090909091,0.752913752913753,199,429,"{'tn': 323, 'fp': 106, 'fn': 117, 'tp': 82}"
Random Forest Classifier,validation,0.670926517571885,0.5669392054574639,0.5693715354304414,0.4027777777777778,0.3258426966292135,0.7510373443983402,0.8080357142857143,89,224,"{'tn': 181, 'fp': 43, 'fn': 60, 'tp': 29}"
Random Forest Classifier,test,0.6576433121019108,0.5096402759719343,0.4741044546492017,0.3620689655172414,0.10552763819095477,0.6877192982456141,0.9137529137529138,199,429,"{'tn': 392, 'fp': 37, 'fn': 178, 'tp': 21}"
Gradient Boosting Classifier,validation,0.6869009584664537,0.4934540529695024,0.44350507982583454,0.23529411764705882,0.0449438202247191,0.7128378378378378,0.9419642857142857,89,224,"{'tn': 211, 'fp': 13, 'fn': 85, 'tp': 4}"
Gradient Boosting Classifier,test,0.6751592356687898,0.5009078024153402,0.42547581035750803,0.3333333333333333,0.02512562814070352,0.6835236541598695,0.9766899766899767,199,429,"{'tn': 419, 'fp': 10, 'fn': 194, 'tp': 5}"
Previous-day direction baseline,validation,0.6261980830670927,0.542460874799358,0.5423118743204229,0.34444444444444444,0.34831460674157305,0.7399103139013453,0.7366071428571429,89,224,"{'tn': 165, 'fp': 59, 'fn': 58, 'tp': 31}"
Previous-day direction baseline,test,0.5589171974522293,0.49126166965362944,0.4912719371357214,0.305,0.3065326633165829,0.677570093457944,0.675990675990676,199,429,"{'tn': 290, 'fp': 139, 'fn': 138, 'tp': 61}"
Majority-class baseline,validation,0.7156549520766773,0.5,0.4171322160148976,0.0,0.0,0.7156549520766773,1.0,89,224,"{'tn': 224, 'fp': 0, 'fn': 89, 'tp': 0}"
Majority-class baseline,test,0.6831210191082803,0.5,0.40586565752128667,0.0,0.0,0.6831210191082803,1.0,199,429,"{'tn': 429, 'fp': 0, 'fn': 199, 'tp': 0}"
