model,split,directional_accuracy,balanced_accuracy,macro_f1,down_precision,down_recall,neutral_precision,neutral_recall,up_precision,up_recall,support_down,support_neutral,support_up,predicted_down_count,predicted_neutral_count,predicted_up_count,direction_confusion_matrix
Logistic Regression baseline,validation,0.3929712460063898,0.33636146306478604,0.28498829440986695,0.4712041884816754,0.6382978723404256,0.0,0.0,0.27049180327868855,0.3707865168539326,141,83,89,191,0,122,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[90, 0, 51], [45, 0, 38], [56, 0, 33]]}"
Logistic Regression baseline,test,0.4299363057324841,0.40429497916935103,0.3358084498450249,0.42105263157894735,0.8205128205128205,0.3333333333333333,0.020512820512820513,0.4625,0.37185929648241206,234,195,199,456,12,160,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[192, 4, 38], [143, 4, 48], [121, 4, 74]]}"
Random Forest Classifier,validation,0.44089456869009586,0.38311569650984206,0.3543181456224935,0.4803921568627451,0.6950354609929078,0.375,0.07228915662650602,0.3655913978494624,0.38202247191011235,141,83,89,204,16,93,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[98, 7, 36], [54, 6, 23], [52, 3, 34]]}"
Random Forest Classifier,test,0.3853503184713376,0.37237612564245737,0.36104199091445094,0.40294117647058825,0.5854700854700855,0.4148936170212766,0.2,0.3402061855670103,0.3316582914572864,234,195,199,340,94,194,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[137, 28, 69], [97, 39, 59], [106, 27, 66]]}"
Gradient Boosting Classifier,validation,0.41533546325878595,0.3933425950194915,0.39255055656524446,0.4625,0.524822695035461,0.36363636363636365,0.3855421686746988,0.36923076923076925,0.2696629213483146,141,83,89,160,88,65,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[74, 39, 28], [38, 32, 13], [48, 17, 24]]}"
Gradient Boosting Classifier,test,0.3980891719745223,0.39540294062907133,0.3662604945117145,0.42084942084942084,0.4658119658119658,0.3662420382165605,0.5897435897435898,0.4727272727272727,0.1306532663316583,234,195,199,259,314,55,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[109, 110, 15], [66, 115, 14], [84, 89, 26]]}"
Previous-day direction baseline,validation,0.3738019169329074,0.3541065209119208,0.35396902581022394,0.46099290780141844,0.46099290780141844,0.25609756097560976,0.25301204819277107,0.34444444444444444,0.34831460674157305,141,83,89,141,82,90,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[65, 41, 35], [38, 21, 24], [38, 20, 31]]}"
Previous-day direction baseline,test,0.28662420382165604,0.28992684218814874,0.28983852592553144,0.23605150214592274,0.23504273504273504,0.3282051282051282,0.3282051282051282,0.305,0.3065326633165829,234,195,199,233,195,200,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[55, 90, 89], [81, 64, 50], [97, 41, 61]]}"
Majority-class baseline,validation,0.26517571884984026,0.3333333333333333,0.13973063973063973,0.0,0.0,0.26517571884984026,1.0,0.0,0.0,141,83,89,0,313,0,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[0, 141, 0], [0, 83, 0], [0, 89, 0]]}"
Majority-class baseline,test,0.3105095541401274,0.3333333333333333,0.15795868772782504,0.0,0.0,0.3105095541401274,1.0,0.0,0.0,234,195,199,0,628,0,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[0, 234, 0], [0, 195, 0], [0, 199, 0]]}"
