model,split,directional_accuracy,balanced_accuracy,macro_f1,up_precision,up_recall,down_precision,down_recall,support_up,support_down,direction_confusion_matrix
Logistic Regression baseline,validation,0.5,0.4961323592608509,0.4959112433515164,0.44,0.46153846153846156,0.5523255813953488,0.5307262569832403,143,179,"{'tn': 95, 'fp': 84, 'fn': 77, 'tp': 66}"
Logistic Regression baseline,test,0.5634674922600619,0.5581757289204098,0.5566685161930905,0.4797297297297297,0.5259259259259259,0.6342857142857142,0.5904255319148937,270,376,"{'tn': 222, 'fp': 154, 'fn': 128, 'tp': 142}"
Random Forest Classifier,validation,0.5217391304347826,0.5051373207797789,0.5007651417525774,0.45132743362831856,0.35664335664335667,0.5598086124401914,0.6536312849162011,143,179,"{'tn': 117, 'fp': 62, 'fn': 92, 'tp': 51}"
Random Forest Classifier,test,0.5727554179566563,0.546838061465721,0.5448335018227491,0.4861111111111111,0.3888888888888889,0.6162790697674418,0.7047872340425532,270,376,"{'tn': 265, 'fp': 111, 'fn': 165, 'tp': 105}"
Gradient Boosting Classifier,validation,0.5403726708074534,0.5204906825018557,0.5132573436287127,0.47572815533980584,0.34265734265734266,0.5707762557077626,0.6983240223463687,143,179,"{'tn': 125, 'fp': 54, 'fn': 94, 'tp': 49}"
Gradient Boosting Classifier,test,0.6037151702786377,0.5567277383766746,0.537771815081894,0.553030303030303,0.27037037037037037,0.6167315175097277,0.8430851063829787,270,376,"{'tn': 317, 'fp': 59, 'fn': 197, 'tp': 73}"
Previous-day direction baseline,validation,0.5124223602484472,0.5058991288041568,0.5058984508625324,0.4507042253521127,0.44755244755244755,0.5611111111111111,0.5642458100558659,143,179,"{'tn': 101, 'fp': 78, 'fn': 79, 'tp': 64}"
Previous-day direction baseline,test,0.5789473684210527,0.5672970843183609,0.5672970843183609,0.4962962962962963,0.4962962962962963,0.6382978723404256,0.6382978723404256,270,376,"{'tn': 240, 'fp': 136, 'fn': 136, 'tp': 134}"
Majority-class baseline,validation,0.5559006211180124,0.5,0.35728542914171657,0.0,0.0,0.5559006211180124,1.0,143,179,"{'tn': 179, 'fp': 0, 'fn': 143, 'tp': 0}"
Majority-class baseline,test,0.5820433436532507,0.5,0.3679060665362035,0.0,0.0,0.5820433436532507,1.0,270,376,"{'tn': 376, 'fp': 0, 'fn': 270, 'tp': 0}"
