model,split,directional_accuracy,balanced_accuracy,macro_f1,down_precision,down_recall,neutral_precision,neutral_recall,up_precision,up_recall,support_down,support_neutral,support_up,predicted_down_count,predicted_neutral_count,predicted_up_count,direction_confusion_matrix
Logistic Regression baseline,validation,0.32608695652173914,0.37073198583989947,0.3141140133886769,0.42168674698795183,0.23809523809523808,0.13432835820895522,0.5,0.49523809523809526,0.37410071942446044,147,36,139,83,134,105,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[35, 66, 46], [11, 18, 7], [37, 50, 52]]}"
Logistic Regression baseline,test,0.4117647058823529,0.38730918405977066,0.3760670134665725,0.5054945054945055,0.47750865051903113,0.15976331360946747,0.3103448275862069,0.4950980392156863,0.37407407407407406,289,87,270,273,169,204,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[138, 68, 83], [40, 27, 20], [95, 74, 101]]}"
Random Forest Classifier,validation,0.40993788819875776,0.3149249308036564,0.30964686705847266,0.43333333333333335,0.4421768707482993,0.045454545454545456,0.027777777777777776,0.44,0.4748201438848921,147,36,139,150,22,150,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[65, 12, 70], [21, 1, 14], [64, 9, 66]]}"
Random Forest Classifier,test,0.47987616099071206,0.3704596375399382,0.35141493864878237,0.505524861878453,0.6332179930795848,0.045454545454545456,0.011494252873563218,0.48091603053435117,0.4666666666666667,289,87,270,362,22,262,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[183, 6, 100], [50, 1, 36], [129, 15, 126]]}"
Gradient Boosting Classifier,validation,0.453416149068323,0.3478455330973316,0.33826782591415894,0.44871794871794873,0.47619047619047616,0.09090909090909091,0.027777777777777776,0.4838709677419355,0.539568345323741,147,36,139,156,11,155,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[70, 8, 69], [24, 1, 11], [62, 2, 75]]}"
Gradient Boosting Classifier,test,0.47368421052631576,0.3647908776612591,0.3404410961799771,0.47058823529411764,0.6643598615916955,0.25,0.011494252873563218,0.4829059829059829,0.4185185185185185,289,87,270,408,4,234,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[192, 1, 96], [61, 1, 25], [155, 2, 113]]}"
Previous-day direction baseline,validation,0.40062111801242234,0.3424280983376564,0.3424280983376564,0.4217687074829932,0.4217687074829932,0.16666666666666666,0.16666666666666666,0.43884892086330934,0.43884892086330934,147,36,139,147,36,139,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[62, 15, 70], [22, 6, 8], [63, 15, 61]]}"
Previous-day direction baseline,test,0.456656346749226,0.3779100581709658,0.3778307263906313,0.5206896551724138,0.5224913494809689,0.11627906976744186,0.11494252873563218,0.4962962962962963,0.4962962962962963,289,87,270,290,86,270,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[151, 37, 101], [42, 10, 35], [97, 39, 134]]}"
Majority-class baseline,validation,0.45652173913043476,0.3333333333333333,0.20895522388059704,0.45652173913043476,1.0,0.0,0.0,0.0,0.0,147,36,139,322,0,0,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[147, 0, 0], [36, 0, 0], [139, 0, 0]]}"
Majority-class baseline,test,0.4473684210526316,0.3333333333333333,0.20606060606060606,0.4473684210526316,1.0,0.0,0.0,0.0,0.0,289,87,270,646,0,0,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[289, 0, 0], [87, 0, 0], [270, 0, 0]]}"
