model,split,directional_accuracy,balanced_accuracy,macro_f1,up_precision,up_recall,down_precision,down_recall,support_up,support_down,direction_confusion_matrix
Logistic Regression baseline,validation,0.5389408099688473,0.524904214559387,0.5023881347410759,0.2925170068027211,0.4942528735632184,0.7471264367816092,0.5555555555555556,87,234,"{'tn': 130, 'fp': 104, 'fn': 44, 'tp': 43}"
Logistic Regression baseline,test,0.6578538102643857,0.5854903716972683,0.5878493345453698,0.4514285714285714,0.3891625615763547,0.7350427350427351,0.7818181818181819,203,440,"{'tn': 344, 'fp': 96, 'fn': 124, 'tp': 79}"
Random Forest Classifier,validation,0.6697819314641744,0.5171676982021809,0.5107832988267771,0.3137254901960784,0.1839080459770115,0.737037037037037,0.8504273504273504,87,234,"{'tn': 199, 'fp': 35, 'fn': 71, 'tp': 16}"
Random Forest Classifier,test,0.6423017107309487,0.5091188983430363,0.4879864284725107,0.3448275862068966,0.1477832512315271,0.6888489208633094,0.8704545454545455,203,440,"{'tn': 383, 'fp': 57, 'fn': 173, 'tp': 30}"
Gradient Boosting Classifier,validation,0.719626168224299,0.504420866489832,0.4488324175824176,0.3333333333333333,0.034482758620689655,0.7307692307692307,0.9743589743589743,87,234,"{'tn': 228, 'fp': 6, 'fn': 84, 'tp': 3}"
Gradient Boosting Classifier,test,0.6889580093312597,0.5100425436632333,0.43087272083554606,0.7142857142857143,0.024630541871921183,0.6886792452830188,0.9954545454545455,203,440,"{'tn': 438, 'fp': 2, 'fn': 198, 'tp': 5}"
Previous-day direction baseline,validation,0.5950155763239875,0.4875478927203065,0.4875478927203065,0.25287356321839083,0.25287356321839083,0.7222222222222222,0.7222222222222222,87,234,"{'tn': 169, 'fp': 65, 'fn': 65, 'tp': 22}"
Previous-day direction baseline,test,0.5645412130637636,0.49608150470219436,0.49608150470219436,0.3103448275862069,0.3103448275862069,0.6818181818181818,0.6818181818181818,203,440,"{'tn': 300, 'fp': 140, 'fn': 140, 'tp': 63}"
Majority-class baseline,validation,0.7289719626168224,0.5,0.42162162162162165,0.0,0.0,0.7289719626168224,1.0,87,234,"{'tn': 234, 'fp': 0, 'fn': 87, 'tp': 0}"
Majority-class baseline,test,0.6842923794712286,0.5,0.40627885503231764,0.0,0.0,0.6842923794712286,1.0,203,440,"{'tn': 440, 'fp': 0, 'fn': 203, 'tp': 0}"
