model,split,directional_accuracy,balanced_accuracy,macro_f1,down_precision,down_recall,neutral_precision,neutral_recall,up_precision,up_recall,support_down,support_neutral,support_up,predicted_down_count,predicted_neutral_count,predicted_up_count,direction_confusion_matrix
Logistic Regression baseline,validation,0.4236760124610592,0.37712481787275376,0.3145979923069706,0.4898989898989899,0.6830985915492958,0.0,0.0,0.319672131147541,0.4482758620689655,142,92,87,198,1,122,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[97, 0, 45], [54, 0, 38], [47, 1, 39]]}"
Logistic Regression baseline,test,0.4307931570762053,0.4041584564860427,0.34110784326626575,0.41875,0.8375,0.42105263157894735,0.04,0.4722222222222222,0.33497536945812806,240,200,203,480,19,144,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[201, 4, 35], [151, 8, 41], [128, 7, 68]]}"
Random Forest Classifier,validation,0.38317757009345793,0.34134986497361647,0.3251318156860108,0.4321608040201005,0.6056338028169014,0.3548387096774194,0.11956521739130435,0.2857142857142857,0.2988505747126437,142,92,87,199,31,91,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[86, 13, 43], [59, 11, 22], [54, 7, 26]]}"
Random Forest Classifier,test,0.36858475894245724,0.3584729064039409,0.35353783231083846,0.39375,0.525,0.3888888888888889,0.245,0.3147208121827411,0.3054187192118227,240,200,203,320,126,197,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[126, 42, 72], [88, 49, 63], [106, 35, 62]]}"
Gradient Boosting Classifier,validation,0.3925233644859813,0.37161700839720985,0.3623226151123577,0.4423076923076923,0.4859154929577465,0.3559322033898305,0.45652173913043476,0.3191489361702128,0.1724137931034483,142,92,87,156,118,47,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[69, 48, 25], [43, 42, 7], [44, 28, 15]]}"
Gradient Boosting Classifier,test,0.41368584758942456,0.4071620142309797,0.37732026194963236,0.4429065743944637,0.5333333333333333,0.386986301369863,0.565,0.4032258064516129,0.12315270935960591,240,200,203,289,292,62,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[128, 91, 21], [71, 113, 16], [90, 88, 25]]}"
Previous-day direction baseline,validation,0.32087227414330216,0.306326296945424,0.306326296945424,0.39436619718309857,0.39436619718309857,0.2717391304347826,0.2717391304347826,0.25287356321839083,0.25287356321839083,142,92,87,142,92,87,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[56, 46, 40], [42, 25, 25], [44, 21, 22]]}"
Previous-day direction baseline,test,0.2892690513219285,0.29205938697318007,0.2921563593069945,0.24481327800829875,0.24583333333333332,0.32160804020100503,0.32,0.3103448275862069,0.3103448275862069,240,200,203,241,199,203,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[59, 92, 89], [85, 64, 51], [97, 43, 63]]}"
Majority-class baseline,validation,0.2866043613707165,0.3333333333333333,0.14850686037126715,0.0,0.0,0.2866043613707165,1.0,0.0,0.0,142,92,87,0,321,0,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[0, 142, 0], [0, 92, 0], [0, 87, 0]]}"
Majority-class baseline,test,0.3110419906687403,0.3333333333333333,0.15816528272044286,0.0,0.0,0.3110419906687403,1.0,0.0,0.0,240,200,203,0,643,0,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[0, 240, 0], [0, 200, 0], [0, 203, 0]]}"
