model,split,directional_accuracy,balanced_accuracy,macro_f1,up_precision,up_recall,down_precision,down_recall,support_up,support_down,direction_confusion_matrix
Logistic Regression baseline,validation,0.503030303030303,0.5020292207792207,0.5018592835315342,0.46875,0.487012987012987,0.5352941176470588,0.5170454545454546,154,176,"{'tn': 91, 'fp': 85, 'fn': 79, 'tp': 75}"
Logistic Regression baseline,test,0.5491679273827534,0.5411515753673309,0.5388228132609103,0.4414715719063545,0.5019011406844106,0.638121546961326,0.5804020100502513,263,398,"{'tn': 231, 'fp': 167, 'fn': 131, 'tp': 132}"
Random Forest Classifier,validation,0.5121212121212121,0.5048701298701299,0.5020198517213261,0.4728682170542636,0.3961038961038961,0.5373134328358209,0.6136363636363636,154,176,"{'tn': 108, 'fp': 68, 'fn': 93, 'tp': 61}"
Random Forest Classifier,test,0.5824508320726173,0.5533131436650935,0.5532471348809873,0.47161572052401746,0.41064638783269963,0.6412037037037037,0.6959798994974874,263,398,"{'tn': 277, 'fp': 121, 'fn': 155, 'tp': 108}"
Gradient Boosting Classifier,validation,0.5,0.48457792207792205,0.4626521005417888,0.43820224719101125,0.2532467532467532,0.5228215767634855,0.7159090909090909,154,176,"{'tn': 126, 'fp': 50, 'fn': 115, 'tp': 39}"
Gradient Boosting Classifier,test,0.6278366111951589,0.5697212297227583,0.5565645657438314,0.5639097744360902,0.28517110266159695,0.6439393939393939,0.8542713567839196,263,398,"{'tn': 340, 'fp': 58, 'fn': 188, 'tp': 75}"
Previous-day direction baseline,validation,0.5181818181818182,0.5162337662337662,0.5162227201062153,0.4838709677419355,0.487012987012987,0.5485714285714286,0.5454545454545454,154,176,"{'tn': 96, 'fp': 80, 'fn': 79, 'tp': 75}"
Previous-day direction baseline,test,0.573373676248109,0.5548034851061391,0.5548034851061391,0.46387832699619774,0.46387832699619774,0.6457286432160804,0.6457286432160804,263,398,"{'tn': 257, 'fp': 141, 'fn': 141, 'tp': 122}"
Majority-class baseline,validation,0.5333333333333333,0.5,0.34782608695652173,0.0,0.0,0.5333333333333333,1.0,154,176,"{'tn': 176, 'fp': 0, 'fn': 154, 'tp': 0}"
Majority-class baseline,test,0.6021180030257186,0.5,0.37582625118035884,0.0,0.0,0.6021180030257186,1.0,263,398,"{'tn': 398, 'fp': 0, 'fn': 263, 'tp': 0}"
