model,split,directional_accuracy,balanced_accuracy,macro_f1,down_precision,down_recall,neutral_precision,neutral_recall,up_precision,up_recall,support_down,support_neutral,support_up,predicted_down_count,predicted_neutral_count,predicted_up_count,direction_confusion_matrix
Logistic Regression baseline,validation,0.30303030303030304,0.3374483156247426,0.2912826275658134,0.36904761904761907,0.21830985915492956,0.11805555555555555,0.4473684210526316,0.5098039215686274,0.3466666666666667,142,38,150,84,144,102,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[31, 68, 43], [14, 17, 7], [39, 59, 52]]}"
Logistic Regression baseline,test,0.42511346444780634,0.3888253328255565,0.38529232681222564,0.4934640522875817,0.5101351351351351,0.19708029197080293,0.2647058823529412,0.4724770642201835,0.3916349809885932,296,102,263,306,137,218,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[151, 57, 88], [48, 27, 27], [107, 53, 103]]}"
Random Forest Classifier,validation,0.4393939393939394,0.3370348406226835,0.3289585272520426,0.4370860927152318,0.4647887323943662,0.058823529411764705,0.02631578947368421,0.48148148148148145,0.52,142,38,150,151,17,162,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[66, 7, 69], [22, 1, 15], [63, 9, 78]]}"
Random Forest Classifier,test,0.4720121028744327,0.3727324674260483,0.35146900933297065,0.49736842105263157,0.6385135135135135,0.09523809523809523,0.0196078431372549,0.4653846153846154,0.4600760456273764,296,102,263,380,21,260,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[189, 8, 99], [60, 2, 40], [131, 11, 121]]}"
Gradient Boosting Classifier,validation,0.4212121212121212,0.32357631167119677,0.31422555994061446,0.4012345679012346,0.45774647887323944,0.1111111111111111,0.02631578947368421,0.4591194968553459,0.4866666666666667,142,38,150,162,9,159,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[65, 5, 72], [23, 1, 14], [74, 3, 73]]}"
Gradient Boosting Classifier,test,0.47049924357034795,0.36762758061125317,0.3390971170556129,0.47980997624703087,0.6824324324324325,0.14285714285714285,0.00980392156862745,0.463519313304721,0.41064638783269963,296,102,263,421,7,233,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[202, 2, 92], [68, 1, 33], [151, 4, 108]]}"
Previous-day direction baseline,validation,0.403030303030303,0.3353150481838399,0.3353047475669337,0.3971631205673759,0.39436619718309857,0.13513513513513514,0.13157894736842105,0.47368421052631576,0.48,142,38,150,141,37,152,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[56, 17, 69], [22, 5, 11], [63, 15, 72]]}"
Previous-day direction baseline,test,0.43116490166414523,0.3681705357784535,0.36805856335527937,0.5,0.5033783783783784,0.14,0.13725490196078433,0.46387832699619774,0.46387832699619774,296,102,263,298,100,263,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[149, 46, 101], [48, 14, 40], [101, 40, 122]]}"
Majority-class baseline,validation,0.4303030303030303,0.3333333333333333,0.2005649717514124,0.4303030303030303,1.0,0.0,0.0,0.0,0.0,142,38,150,330,0,0,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[142, 0, 0], [38, 0, 0], [150, 0, 0]]}"
Majority-class baseline,test,0.44780635400907715,0.3333333333333333,0.20619993033786135,0.44780635400907715,1.0,0.0,0.0,0.0,0.0,296,102,263,661,0,0,"{'labels': ['Down', 'Neutral', 'Up'], 'matrix': [[296, 0, 0], [102, 0, 0], [263, 0, 0]]}"
