Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change (Rs.),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,78,10,1050,1075,1080,1069.75,1069.75,19.75,1.88
ACCESS ENGINEERING PLC,AEL.N0000,89746,91,75.6,75.7,75.9,75,75.1,-0.5,-0.66
ACL CABLES PLC,ACL.N0000,20639,40,94,94.3,94.5,94,94,0,0.00
ACL PLASTICS PLC,APLA.N0000,2705,29,140,143.75,143.75,139.5,139.5,-0.5,-0.36
ACME PRINTING & PACKAGING PLC,ACME.N0000,121397,28,4.2,4.3,4.3,4.2,4.3,0.1,2.38
AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,2115,15,48.6,46.9,48.1,46.5,48.1,-0.5,-1.03
AGARAPATANA PLANTATIONS PLC,AGPL.N0000,134,4,15.4,15.5,15.5,15.4,15.4,0,0.00
AGSTAR PLC,AGST.N0000,192284,58,12.2,12.3,12.3,11.9,12,-0.2,-1.64
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,155,2,87.4,87.4,87.4,87.2,87.2,-0.2,-0.23
AITKEN SPENCE PLC,SPEN.N0000,2048,18,142.75,142,142.5,140,140,-2.75,-1.93
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,223,7,306.25,307,307,303.25,305,-1.25,-0.41
ALPHA FIRE SERVICES PLC,AFS.N0000,408,2,27.3,27.8,27.8,27.5,27.5,0.2,0.73
ALUMEX PLC,ALUM.N0000,6564,11,15.9,15.9,16.2,15.9,16.1,0.2,1.26
AMANA BANK PLC,ABL.N0000,21863,15,26.1,26.5,26.5,26.1,26.4,0.3,1.15
AMANA TAKAFUL PLC,ATL.N0000,114128,20,20,20,20.5,19.9,20.5,0.5,2.50
AMBEON CAPITAL PLC,TAP.N0000,58363,12,30.2,30.7,30.7,30,30,-0.2,-0.66
AMBEON HOLDINGS PLC,GREG.N0000,290,1,36.1,37.3,37.3,37.3,37.3,1.2,3.32
ASIA ASSET FINANCE PLC,AAF.N0000,233991,30,46.9,47,47,45.8,46.5,-0.4,-0.85
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,160035,34,13.1,13.2,13.2,12.9,13,-0.1,-0.76
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,20000,4,46.7,46.9,47.5,46.9,47.5,0.8,1.71
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,5323,8,32.1,33.8,33.8,32.5,32.5,0.4,1.25
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,144413,69,13.9,13.9,13.9,13.7,13.8,-0.1,-0.72
B P P L HOLDINGS PLC,BPPL.N0000,5000,7,17.9,17.9,18,17.8,18,0.1,0.56
BAIRAHA FARMS PLC,BFL.N0000,80755,32,89,89.9,91,88,89,0,0.00
BALANGODA  PLANTATIONS  PLC,BALA.N0000,233,3,60.8,61,61.5,61,61.5,0.7,1.15
BERUWALA RESORTS PLC,BERU.N0000,1000,1,2.9,2.9,2.9,2.9,2.9,0,0.00
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,1707,13,134.75,135,135,132.5,132.5,-2.25,-1.67
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,18519,27,70.9,71.7,72.5,70.9,72.5,1.6,2.26
BROWN & COMPANY PLC,BRWN.N0000,273,5,134.5,135,137.5,135,137.5,3,2.23
BROWNS INVESTMENTS PLC,BIL.N0000,716060,58,5.1,5.1,5.1,5,5.1,0,0.00
BUKIT DARAH PLC,BUKI.N0000,96,2,859.75,850,850,850,850,-9.75,-1.13
C I C HOLDINGS PLC,CIC.N0000,3457,18,29.2,29.7,29.7,29.2,29.5,0.3,1.03
C I C HOLDINGS PLC,CIC.X0000,13521,19,24.2,24.4,24.5,24,24.5,0.3,1.24
C M HOLDINGS PLC,COLO.N0000,1236,16,38.6,37.5,37.5,37,37,-1.6,-4.15
C T HOLDINGS PLC,CTHR.N0000,2372,14,524.75,529.75,530,528,528,3.25,0.62
C T LAND DEVELOPMENT PLC,CTLD.N0000,6681,15,37,37,37,36.5,37,0,0.00
C. W. MACKIE PLC,CWM.N0000,1586,5,37.8,38,38,37.6,38,0.2,0.53
CABLE SOLUTIONS PLC,CSLK.N0000,140547,60,12.6,12.8,12.9,12.7,12.7,0.1,0.79
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,1,1,12.8,12.7,12.7,12.7,12.7,-0.1,-0.78
CAL THREE YEAR CLOSED END FUND (“Units”),CALU.U0000,1,1,9.5,9.4,9.4,9.4,9.4,-0.1,-1.05
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,29264,16,13.5,13.5,13.5,13.3,13.3,-0.2,-1.48
CAPITAL ALLIANCE PLC,CALT.N0000,18086,37,49.6,49.8,49.8,48.9,48.9,-0.7,-1.41
CARGILLS (CEYLON) PLC,CARG.N0000,222,18,686.25,670,670,650,650,-36.25,-5.28
CARGILLS BANK PLC,CBNK.N0000,24008,19,7.4,7.4,7.6,7.4,7.5,0.1,1.35
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,1200,7,165.75,166.75,166.75,165.25,165.25,-0.5,-0.30
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,2650,18,227.25,227,227.25,225,225,-2.25,-0.99
CENTRAL INDUSTRIES PLC,CIND.N0000,626,18,214.75,214.5,214.5,209,209,-5.75,-2.68
CEYLINCO HOLDINGS PLC,CINS.N0000,26,2,2850,2890,2890,2850,2850,0,0.00
CEYLINCO HOLDINGS PLC,CINS.X0000,74,6,1600,1600,1600,1540,1541,-59,-3.69
CEYLON COLD STORES PLC,CCS.N0000,34122,94,124,124,124,122.5,122.5,-1.5,-1.21
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,5790,18,476.25,475,499.5,475,499.5,23.25,4.88
CEYLON HOSPITALS PLC,CHL.X0000,5,1,49.9,50.3,50.3,50.3,50.3,0.4,0.80
CEYLON HOSPITALS PLC,CHL.N0000,4795,6,62.2,60.3,60.3,60.2,60.2,-2,-3.22
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,1040,4,30.8,30.4,30.4,30.4,30.4,-0.4,-1.30
CEYLON INVESTMENT PLC,CINV.N0000,1,1,104.5,106,106,106,106,1.5,1.44
CEYLON LAND & EQUITY PLC,KZOO.N0000,2719,9,8.7,8.7,8.8,8.6,8.7,0,0.00
CEYLON TEA BROKERS PLC,CTBL.N0000,86343,54,10.8,10.9,10.9,10,10,-0.8,-7.41
CEYLON TOBACCO COMPANY PLC,CTC.N0000,710,34,1829.75,1824,1824,1798.25,1800,-29.75,-1.63
CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,4314,19,203.75,204,204,203,204,0.25,0.12
CHRISSWORLD PLC,CWL.N0000,2,1,18,18.2,18.2,18.2,18.2,0.2,1.11
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,18452,30,29.7,29.6,29.6,29.4,29.5,-0.2,-0.67
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,50,1,39.4,39.3,39.3,39.3,39.3,-0.1,-0.25
CITRUS LEISURE PLC,REEF.N0000,21000,10,3.6,3.7,3.7,3.6,3.6,0,0.00
Co-operative Insurance Company PLC,COOP.N0000,310716,44,3.4,3.5,3.5,3.3,3.4,0,0.00
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,50,2,179,171.5,171.5,171.5,171.5,-7.5,-4.19
COLOMBO DOCKYARD PLC,DOCK.N0000,41081,63,122.75,122.5,123.25,121.25,121.25,-1.5,-1.22
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,22300,18,48.2,49.7,49.7,48,48.1,-0.1,-0.21
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,74572,163,203.75,203.5,204,202.75,202.75,-1,-0.49
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,6092,58,186.25,185.25,186,184,186,-0.25,-0.13
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,69584,98,108.25,109,109,107.75,108.5,0.25,0.23
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,101,2,299,293.5,293.75,293.5,293.75,-5.25,-1.76
DANKOTUWA PORCELAIN PLC,DPL.N0000,1001,2,13.8,13.7,13.7,13.7,13.7,-0.1,-0.72
DFCC BANK PLC,DFCC.N0000,3666,37,128,127,127.5,126,127,-1,-0.78
DIALOG AXIATA PLC,DIAL.N0000,42035,122,47,47,47.5,47,47.1,0.1,0.21
DIALOG FINANCE PLC,CALF.N0000,29,3,134,134.5,134.5,133.5,133.5,-0.5,-0.37
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,48883,17,160,161,161,159.75,160,0,0.00
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,1,1,1490,1455,1455,1455,1455,-35,-2.35
DIPPED PRODUCTS PLC,DIPD.N0000,96761,54,57.5,57.5,57.5,56.9,57.3,-0.2,-0.35
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,13157,71,55,54.9,55,53.9,54,-1,-1.82
DOLPHIN HOTELS PLC,STAF.N0000,8200,16,41,40.8,40.8,40.1,40.1,-0.9,-2.20
E - CHANNELLING PLC,ECL.N0000,14323,17,15.2,15.9,16.1,15.9,15.9,0.7,4.61
E B CREASY & COMPANY PLC,EBCR.N0000,1785,14,38,38.5,38.5,37.7,37.7,-0.3,-0.79
E M L CONSULTANTS PLC,EML.N0000,17150,18,8.4,8.6,8.6,8.2,8.2,-0.2,-2.38
EAST WEST PROPERTIES PLC,EAST.N0000,11526,9,64.3,66,66,64.9,64.9,0.6,0.93
EASTERN MERCHANTS PLC,EMER.N0000,39110,6,10.6,10,10.4,10,10.3,-0.3,-2.83
EDEN HOTEL LANKA PLC,EDEN.N0000,939,3,9.7,9.7,9.8,9.7,9.8,0.1,1.03
